partition,node_name,op_type,depth,ram_style,dataType,folded_shape,elems_per_beat,size_elems,bitwidth,size_bits,size_bytes
5,StreamingFIFO_rtl_37,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 8, 1]",1,2,16,32,4.0
5,StreamingFIFO_rtl_38,StreamingFIFO_rtl,2,auto,UINT4,"[1, 8, 8, 8, 1]",1,2,4,8,1.0
5,StreamingFIFO_rtl_39,StreamingFIFO_rtl,2,auto,UINT4,"[1, 8, 8, 4, 2]",2,4,4,16,2.0
5,StreamingFIFO_rtl_40,StreamingFIFO_rtl,2,auto,INT13,"[1, 8, 8, 2, 16]",16,32,13,416,52.0
5,StreamingFIFO_rtl_41,StreamingFIFO_rtl,2,auto,INT13,"[1, 8, 8, 8, 4]",4,8,13,104,13.0
5,StreamingFIFO_rtl_42,StreamingFIFO_rtl,32,auto,INT8,"[1, 8, 8, 8, 4]",4,128,8,1024,128.0
5,StreamingFIFO_rtl_43,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_44,StreamingFIFO_rtl,2,auto,INT9,"[1, 8, 8, 32, 1]",1,2,9,18,2.25
5,StreamingFIFO_rtl_45,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_46,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_47,StreamingFIFO_rtl,267,auto,UINT8,"[1, 8, 8, 32, 1]",1,267,8,2136,267.0
5,StreamingFIFO_rtl_48,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_49,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 4, 8]",8,16,8,128,16.0
5,StreamingFIFO_rtl_50,StreamingFIFO_rtl,2048,auto,INT8,"[1, 8, 8, 32, 1]",1,2048,8,16384,2048.0
5,StreamingFIFO_rtl_51,StreamingFIFO_rtl,2,auto,INT15,"[1, 8, 8, 2, 4]",4,8,15,120,15.0
5,StreamingFIFO_rtl_52,StreamingFIFO_rtl,2,auto,INT15,"[1, 8, 8, 8, 1]",1,2,15,30,3.75
5,StreamingFIFO_rtl_53,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_54,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 1, 8]",8,16,8,128,16.0
5,StreamingFIFO_rtl_55,StreamingFIFO_rtl,1600,auto,UINT8,"[1, 40, 40, 1, 8]",8,12800,8,102400,12800.0
5,StreamingFIFO_rtl_56,StreamingFIFO_rtl,5584,auto,UINT8,"[1, 40, 40, 8, 1]",1,5584,8,44672,5584.0
5,StreamingFIFO_rtl_57,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 72, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_58,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 4, 18]",18,36,8,288,36.0
5,StreamingFIFO_rtl_59,StreamingFIFO_rtl,2,auto,INT20,"[1, 8, 8, 4, 2]",2,4,20,80,10.0
5,StreamingFIFO_rtl_60,StreamingFIFO_rtl,2,auto,INT20,"[1, 8, 8, 8, 1]",1,2,20,40,5.0
5,StreamingFIFO_rtl_61,StreamingFIFO_rtl,2,auto,UINT4,"[1, 8, 8, 8, 1]",1,2,4,8,1.0
5,StreamingFIFO_rtl_62,StreamingFIFO_rtl,2,auto,UINT4,"[1, 8, 8, 2, 4]",4,8,4,32,4.0
5,StreamingFIFO_rtl_63,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 8, 4]",4,8,16,128,16.0
