stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_127,5x5 only,0.6739481330029732,0.6758389985964434,0.6720678184347332,0.9768829345702752
test_127,OR (6x6 | 5x5),0.7042145959616705,0.6341987620352182,0.7916085416881729,0.9763603210448846
test_127,confidence blend,0.720400340715119,0.7148441627039462,0.7260435669055413,0.9799652099609001
test_128,6x6 only,0.32655393052997794,0.24425262798030573,0.49250387730399364,0.955032348632776
test_128,5x5 only,0.45254084394083766,0.3190587237648795,0.7780458383581285,0.9583282470702759
test_128,OR (6x6 | 5x5),0.4244027074273054,0.28680479825500615,0.81578493882334,0.9510154724120731
test_128,confidence blend,0.3833017077796841,0.27610296909387494,0.6265724625183068,0.955368041992151
test_129,6x6 only,0.5939284640811602,0.5682515337412418,0.622035676808768,0.9845390319823842
test_129,5x5 only,0.5111791446326086,0.4580977718648851,0.5781741867773805,0.9799003601073845
test_129,OR (6x6 | 5x5),0.5121455845312274,0.41781548250209727,0.6614900314781501,0.9770927429198846
test_129,confidence blend,0.5721951704257455,0.5434126085304957,0.6041972717720794,0.9835777282714468
test_13,6x6 only,0.49948377981823644,0.4879498885226797,0.511576135351167,0.9648628234862913
test_13,5x5 only,0.5446357313872165,0.5581911661596656,0.5317230632229165,0.9695281982421504
test_13,OR (6x6 | 5x5),0.5411626999607193,0.4815972222218041,0.6175422974169439,0.9641113281249631
test_13,confidence blend,0.5301021517058627,0.5178343949039088,0.5429652715933404,0.967010498046838
test_130,6x6 only,0.6525103105079748,0.7018109832093982,0.6096815286620321,0.9611091613769164
test_130,5x5 only,0.6427430518579339,0.7258879179020877,0.5766878980888046,0.9616050720214476
test_130,OR (6x6 | 5x5),0.6967972392078777,0.663955232490675,0.7330573248402974,0.9617919921874633
test_130,confidence blend,0.7044615437698132,0.7686168210219346,0.6501910828021336,0.9673271179198849
test_131,6x6 only,0.6331135531130893,0.6742081447953281,0.5967407816591677,0.9808959960937126
test_131,5x5 only,0.5768829415010883,0.5192265193364428,0.6489435160880418,0.9737052917480097
test_131,OR (6x6 | 5x5),0.575050709938824,0.48567621585563364,0.7047369147898015,0.9712295532226192
test_131,confidence blend,0.6420802420221551,0.6710328214383152,0.6155227178557996,0.981044769287072
test_132,6x6 only,0.4330098202489904,0.5398825719597024,0.36145733461135043,0.9623374938964476
test_132,5x5 only,0.48087739032593874,0.5816326530604332,0.4098753595393961,0.9647903442382444
test_132,OR (6x6 | 5x5),0.5004145734768081,0.5092822396500454,0.49185043144727525,0.9609260559081664
test_132,confidence blend,0.4827114782110608,0.594666666665832,0.406232023010157,0.9653587341308225
test_133,6x6 only,0.6195235083278011,0.6347533051061653,0.6050074122874279,0.9655799865722288
test_133,5x5 only,0.7013912168954486,0.7139566626849394,0.6892604183819063,0.9728164672851191
test_133,OR (6x6 | 5x5),0.6658675674691562,0.5956202482288676,0.7549003459061481,0.9649085998534788
test_133,confidence blend,0.6856389314273075,0.7090445187394782,0.6637292044138826,0.9718093872069942
test_134,6x6 only,0.7231670880253257,0.7944703951511243,0.6636085626904317,0.9816207885741812
test_134,5x5 only,0.6927292243372166,0.7460452664872887,0.6465253611719428,0.9792518615722282
test_134,OR (6x6 | 5x5),0.7352941176466846,0.7104926738118689,0.7618896973523548,0.9801559448241813
test_134,confidence blend,0.761216946260585,0.8260923228822191,0.7057893071805275,0.9839820861816031
test_135,6x6 only,0.5435921133698832,0.7297353184434869,0.43311242022529073,0.977394104003869
test_135,5x5 only,0.4915178571424914,0.6241496598627662,0.4053755522822713,0.9739303588866816
test_135,OR (6x6 | 5x5),0.5564912753482743,0.6168782673627828,0.5068728522330549,0.9748878479003534
test_135,confidence blend,0.5567854435173943,0.7282824276066476,0.45066273932198003,0.977699279785119
test_136,6x6 only,0.6856860158305691,0.7284512964247924,0.6476635514008603,0.9854583740233999
test_136,5x5 only,0.6917389906776826,0.7144754316057197,0.6704049844226317,0.9853668212890249
test_136,OR (6x6 | 5x5),0.677100014557667,0.6355561628851659,0.7244548286593078,0.98307800292965
test_136,confidence blend,0.7091752235833809,0.7570721357836686,0.6669781931453785,0.9866027832030874
test_137,6x6 only,0.5496904024765674,0.5458458227649329,0.5535895237348557,0.955612182617151
test_137,5x5 only,0.5820728772771648,0.6485684190360542,0.5279445007400982,0.9628982543944945
test_137,OR (6x6 | 5x5),0.5776050190941838,0.5133644463297694,0.6602229324182242,0.9527435302734011
test_137,confidence blend,0.5869967171047934,0.5688999414858331,0.606282640891257,0.9582481384276977
test_138,6x6 only,0.6497438642093052,0.6401024404931605,0.6596801738850183,0.9825248718261343
test_138,5x5 only,0.5534258033034408,0.5021502656204122,0.616363918645216,0.9755592346191033
test_138,OR (6x6 | 5x5),0.594333102971292,0.49915576192433603,0.7343580189400181,0.9753684997558221
test_138,confidence blend,0.6278074866305364,0.6179876673174644,0.6379444185675548,0.9814147949218375
test_139,6x6 only,0.6832126852804665,0.5833529550263911,0.8243220761922736,0.9824714660644156
test_139,5x5 only,0.6924968432241028,0.5765825586536336,0.8667443021113513,0.9823493957519156
test_139,OR (6x6 | 5x5),0.626546228640109,0.4788918205800537,0.9058392946250111,0.9752388000487909
test_139,confidence blend,0.744256391789165,0.6562103124197914,0.8595907502897029,0.986454010009728
test_14,6x6 only,0.6367740361147897,0.7658107116643201,0.5449514461725541,0.9772872924804314
test_14,5x5 only,0.6287081339709159,0.7358252834933,0.5488148689563027,0.9763183593749627
test_14,OR (6x6 | 5x5),0.7086141533273438,0.7147105682414076,0.7026208624822986,0.9788894653319938
test_14,confidence blend,0.6797315114463144,0.7977211984796768,0.5921478542334841,0.9796142578124626
test_140,6x6 only,0.44019646886971964,0.49596171103650627,0.3957040572782919,0.9839134216308218
test_140,5x5 only,0.42553720034725434,0.44366744366629457,0.4088305489250386,0.9823570251464468
test_140,OR (6x6 | 5x5),0.4580438857641878,0.4257019881114456,0.4957040572780532,0.9812507629394156
test_140,confidence blend,0.4623472203962908,0.5144779175182379,0.4198090692114086,0.9843940734862905
test_141,6x6 only,0.7025192683764508,0.6636600738962577,0.7462121212112094,0.9802703857421501
test_141,5x5 only,0.6354761269668522,0.5639617460462418,0.7277614858251127,0.9739341735839472
test_141,OR (6x6 | 5x5),0.6436046511624789,0.5332369942192251,0.8115835777116183,0.9719390869140254
test_141,confidence blend,0.7086497288034778,0.6650948451391435,0.758308895404743,0.9805335998534782
test_142,6x6 only,0.2942812053804056,0.42713787085421656,0.22446406052937695,0.9641761779784788
test_142,5x5 only,0.21520222105483963,0.3114682884441541,0.16439298406492675,0.9601020812987915
test_142,OR (6x6 | 5x5),0.3077846708022762,0.36805998723617095,0.26447323168604325,0.9604148864745727
test_142,confidence blend,0.28798411122122985,0.4315476190466311,0.2160953800295585,0.9644432067870725
test_143,6x6 only,0.7066248561105439,0.6898395721919787,0.7242473555730478,0.9718055725097285
test_143,5x5 only,0.6671865380666254,0.6731262939953017,0.6613506916186644,0.9690666198730099
test_143,OR (6x6 | 5x5),0.7155242006245075,0.6291586939073951,0.8293734743687311,0.9690818786620724
test_143,confidence blend,0.7424533374296249,0.7030840849573006,0.786493083807334,0.9744186401366816
test_144,6x6 only,0.6258644536649228,0.725450901802638,0.5503192459708621,0.9752349853515253
test_144,5x5 only,0.672773005552336,0.6326312031411704,0.7183541096577294,0.9736976623534784
test_144,OR (6x6 | 5x5),0.6713530978471504,0.5897514575018489,0.7791628661185981,0.9712867736816035
test_144,confidence blend,0.7120622568089536,0.7627648489049869,0.6676801459403388,0.9796752929687126
test_145,6x6 only,0.4596941896021653,0.5907876120097614,0.37621383521836393,0.9663009643554319
test_145,5x5 only,0.4501685122770521,0.5643579296807539,0.3744118530379673,0.9651489257812131
test_145,OR (6x6 | 5x5),0.5098265290076465,0.5349758029030631,0.4869356291916238,0.9643211364745725
test_145,confidence blend,0.45654399807236246,0.5730269126087496,0.37941735909462465,0.9655799865722288
test_146,6x6 only,0.27529800748257605,0.16480883425339637,0.8352692713789057,0.9682273864745724
test_146,5x5 only,0.3152187618203061,0.2070564850087675,0.6599788806723338,0.9792823791503532
test_146,OR (6x6 | 5x5),0.2623929609550928,0.15413013382542304,0.881731784578238,0.96418380737301
test_146,confidence blend,0.27262813522332635,0.16206243143496352,0.857972544874034,0.9669227600097287
