partition,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
2,Thresholding_rtl_10,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,UINT4,14,14,,,,,8,15,,,,,,,,,,,,,,72,0,5,208,0,0,0,0
2,MVAU_rtl_5,MVAU_rtl,MVAU,32,8,32,1,32,3.0,INT6,UINT4,INT12,6,4,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,715,0,0,1668,3,0,0,16
2,Thresholding_rtl_11,Thresholding_rtl,Thresholding,,,4,,,,INT13,INT12,INT8,13,12,,,,,32,255,,,,,,,,,,,,,,353,0,33,1465,0,16,0,0
2,Thresholding_rtl_12,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,71,0,9,313,2,5,0,0
2,Thresholding_rtl_13,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,32,63,,,,,,,,,,,,,,64,0,14,154,0,0,0,0
2,Thresholding_rtl_14,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,INT8,6,6,,,,,32,255,,,,,,,,,,,,,,64,0,14,214,1,2,0,0
2,MVAU_rtl_6,MVAU_rtl,MVAU,8,32,4,8,32,5.0,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,573,123,0,636,0,0,0,16
2,Thresholding_rtl_15,Thresholding_rtl,Thresholding,,,1,,,,INT15,INT15,UINT4,15,15,,,,,8,15,,,,,,,,,,,,,,77,0,5,219,0,0,0,0
2,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT4,UINT4,,4,,,distributed,,,,8,24,24,8,8,3,3,1,1,8,8,0,0,758,408,0,114,0,0,0,0
2,MVAU_rtl_7,MVAU_rtl,MVAU,8,72,8,8,64,6.17,INT4,UINT4,INT12,4,4,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,1026,124,0,1564,0,0,0,16
2,Thresholding_rtl_16,Thresholding_rtl,Thresholding,,,1,,,,INT12,INT12,UINT4,12,12,,,,,8,15,,,,,,,,,,,,,,71,0,5,178,0,0,0,0
2,MVAU_rtl_8,MVAU_rtl,MVAU,32,8,16,2,32,3.0,INT6,UINT4,INT11,6,4,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,661,104,0,1053,0,0,0,16
2,Thresholding_rtl_17,Thresholding_rtl,Thresholding,,,4,,,,INT12,INT11,INT8,12,11,,,,,32,255,,,,,,,,,,,,,,312,0,33,1390,0,16,0,0
2,Thresholding_rtl_18,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,71,0,9,313,2,4,0,0
2,Thresholding_rtl_19,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,32,63,,,,,,,,,,,,,,64,0,14,154,0,1,0,0
2,Thresholding_rtl_20,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,INT8,6,6,,,,,32,255,,,,,,,,,,,,,,65,0,16,207,1,2,0,0
2,MVAU_rtl_9,MVAU_rtl,MVAU,8,32,4,8,32,5.0,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,478,28,0,448,3,0,0,16
2,Thresholding_rtl_21,Thresholding_rtl,Thresholding,,,1,,,,INT15,INT15,UINT6,15,15,,,,,8,63,,,,,,,,,,,,,,95,0,7,310,0,2,0,0
2,ConvolutionInputGenerator_rtl_3,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,8,40,40,8,8,3,3,1,1,16,16,0,0,2065,1320,0,153,0,0,0,0
2,MVAU_rtl_10,MVAU_rtl,MVAU,8,72,2,24,48,6.17,INT4,UINT6,INT14,4,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,857,180,0,717,0,0,0,24
2,Thresholding_rtl_22,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,UINT6,14,14,,,,,8,63,,,,,,,,,,,,,,86,0,7,294,0,2,0,0
2,MVAU_rtl_11,MVAU_rtl,MVAU,32,8,8,4,32,3.0,INT4,UINT6,INT12,4,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,554,79,0,701,0,0,0,16
2,Thresholding_rtl_23,Thresholding_rtl,Thresholding,,,4,,,,INT13,INT12,INT8,13,12,,,,,32,255,,,,,,,,,,,,,,355,0,33,1466,0,16,0,0
2,Thresholding_rtl_24,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,71,0,9,313,2,5,0,0
2,Thresholding_rtl_25,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,32,63,,,,,,,,,,,,,,65,0,14,154,0,1,0,0
2,Thresholding_rtl_26,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,INT8,6,6,,,,,32,255,,,,,,,,,,,,,,62,0,14,211,1,2,0,0
2,MVAU_rtl_12,MVAU_rtl,MVAU,8,32,4,8,32,5.0,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,573,124,0,643,0,0,0,16
2,Thresholding_rtl_27,Thresholding_rtl,Thresholding,,,1,,,,INT15,INT15,UINT4,15,15,,,,,8,15,,,,,,,,,,,,,,77,0,5,217,0,0,0,0
2,ConvolutionInputGenerator_rtl_4,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT4,UINT4,,4,,,distributed,,,,8,12,12,8,8,3,3,1,1,2,2,0,0,246,56,0,96,0,0,0,0
