source,partition,node_name,op_type,MH,MW,Channels,Kernel,IFMChannels,IFMDim,OFMDim,ConvKernelDim,Stride,Dilation,depthwise,parallel_window,NumChannels,numSteps,ActVal,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,accDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,runtime_writeable_weights,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
separable_alpha025_partition4,4,Thresholding_rtl_0,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,71,0,9,312,2,4,0,0
separable_alpha025_partition4,4,Thresholding_rtl_1,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,64,0,14,154,0,1,0,0
separable_alpha025_partition4,4,Thresholding_rtl_2,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,63,0,14,211,1,2,0,0
separable_alpha025_partition4,4,MVAU_hls_0,MVAU_hls,8,32,,,,,,,,,,,,,,8,2,8,2,True,INT4,UINT6,UINT6,INT14,4,6,dsp,True,block,internal_decoupled,0,16,5.0,4026,0,0,484,1,0,0,16
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,,,,,8,16x8,8x8,3x1,1x1,4x4,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,267,72,0,87,0,0,0,0
separable_alpha025_partition4,4,MVAU_hls_1,MVAU_hls,8,24,,,,,,,,,,,,,,4,3,4,3,True,INT6,UINT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,0,12,4.58,2690,0,0,608,1,0,0,12
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,,,,,8,8x16,8x8,1x3,1x1,4x4,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,189,16,0,81,0,0,0,0
separable_alpha025_partition4,4,MVAU_hls_2,MVAU_hls,8,24,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT6,UINT6,INT13,4,6,dsp,True,block,internal_decoupled,0,16,4.58,1433,0,0,650,1,0,0,20
separable_alpha025_partition4,4,MVAU_hls_3,MVAU_hls,32,8,,,,,,,,,,,,,,2,8,2,8,True,INT6,UINT6,INT8,INT13,6,6,dsp,True,auto,internal_decoupled,0,16,3.0,9859,48,0,6715,0,0,0,20
separable_alpha025_partition4,4,Thresholding_rtl_3,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,72,0,9,325,2,4,0,0
separable_alpha025_partition4,4,Thresholding_rtl_4,Thresholding_rtl,,,,,,,,,,,,,32,15,0,1,,,,,INT9,INT8,UINT4,,9,8,,,,,0,,,43,0,7,88,0,0,0,0
separable_alpha025_partition4,4,Thresholding_rtl_5,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT4,UINT4,INT8,,4,4,,,,,0,,,57,0,15,175,0,3,0,0
separable_alpha025_partition4,4,MVAU_hls_4,MVAU_hls,8,32,,,,,,,,,,,,,,4,4,4,4,True,INT6,UINT4,UINT4,INT13,6,4,dsp,True,auto,internal_decoupled,0,16,5.0,947,48,0,752,0,0,0,16
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,,,,,8,24x8,8x8,3x1,1x1,8x8,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,363,136,0,90,0,0,0,0
separable_alpha025_partition4,4,MVAU_hls_5,MVAU_hls,8,24,,,,,,,,,,,,,,4,4,4,4,True,INT6,UINT4,UINT4,INT13,6,4,dsp,True,auto,internal_decoupled,0,16,4.58,947,48,0,716,0,0,0,16
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_3,ConvolutionInputGenerator_rtl,,,,,8,8x24,8x8,1x3,1x1,8x8,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,202,24,0,84,0,0,0,0
separable_alpha025_partition4,4,MVAU_hls_6,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT4,UINT4,UINT4,INT11,4,4,dsp,True,block,internal_decoupled,0,16,4.58,361,0,0,418,1,0,0,16
separable_alpha025_partition4,4,MVAU_hls_7,MVAU_hls,32,8,,,,,,,,,,,,,,16,1,16,1,True,INT4,UINT4,INT8,INT10,4,4,dsp,True,block,internal_decoupled,0,16,3.0,24997,0,0,1105,1,0,0,16
separable_alpha025_partition4,4,Thresholding_rtl_6,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,85,0,14,298,2,2,0,0
separable_alpha025_partition4,4,Thresholding_rtl_7,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,64,0,14,154,0,1,0,0
separable_alpha025_partition4,4,Thresholding_rtl_8,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,63,0,14,212,1,2,0,0
separable_alpha025_partition4,4,MVAU_hls_8,MVAU_hls,8,32,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,5.0,4618,48,0,668,0,0,0,16
