case_id,mean_branch_purity,impure_branch_frac,n_branches,n_components_LAD,largest_component_ratio_LAD,n_components_RCA,largest_component_ratio_RCA,n_components_LCX,largest_component_ratio_LCX,spur_count,spur_density,n_fp_components,n_catheter_like_fp,catheter_like_fp_pixel_frac
test_220,1.0,0.0,12,5,0.9270018621973929,0,,0,,3,0.2,19,12,0.22671132509943479
test_221,0.9883313885647608,0.2857142857142857,21,0,,8,0.9953990163414247,7,0.873015873015873,11,0.3333333333333333,13,13,1.0
test_222,1.0,0.0,9,1,1.0,0,,4,0.5881660288489844,1,0.1111111111111111,15,11,0.9279907084785134
test_223,1.0,0.0,18,2,0.9993564993564994,0,,3,0.9997712194005949,7,0.28,20,13,0.429097605893186
test_224,1.0,0.0,14,14,0.8147807421036491,0,,0,,15,0.5555555555555556,11,11,1.0
test_225,0.9813084112149533,0.10526315789473684,19,1,1.0,0,,5,0.8194618272841051,10,0.38461538461538464,15,7,0.24741298212605833
test_226,1.0,0.0,13,1,1.0,0,,4,0.6136424912375303,7,0.4666666666666667,17,14,0.19022687609075042
test_227,1.0,0.0,7,0,,2,0.999820884828945,0,,3,0.21428571428571427,16,12,0.8436482084690554
test_228,1.0,0.0,2,0,,2,0.8521023228462217,0,,0,0.0,5,4,0.9246861924686193
test_229,1.0,0.0,3,1,1.0,0,,2,0.8024942388504812,0,0.0,10,8,0.7672131147540984
test_23,0.9926739926739927,0.07142857142857142,14,2,0.9984520123839009,0,,10,0.6936350777934936,3,0.17647058823529413,11,7,0.5418410041841004
test_230,0.9916201117318436,0.14285714285714285,14,0,,5,0.650238818931828,1,1.0,5,0.2777777777777778,9,5,0.06653426017874876
test_231,0.9927623642943305,0.045454545454545456,22,1,1.0,0,,6,0.9283083399105498,5,0.21739130434782608,15,6,0.257843696520251
test_232,1.0,0.0,11,1,1.0,0,,3,0.7975863122517568,6,0.46153846153846156,1,0,0.0
test_233,1.0,0.0,14,3,0.9997827739763223,0,,0,,1,0.05555555555555555,9,6,0.11290322580645161
test_234,0.999054820415879,0.047619047619047616,21,1,1.0,0,,10,0.3508925637936699,8,0.3076923076923077,17,11,0.389010989010989
test_235,1.0,0.0,10,1,1.0,0,,0,,4,0.36363636363636365,15,9,0.447520184544406
test_236,1.0,0.0,5,0,,5,0.74151212553495,0,,2,0.25,10,6,0.6494800693240901
test_237,0.9973333333333333,0.1111111111111111,9,1,1.0,0,,4,0.7497869439236406,5,0.4166666666666667,12,7,0.3004115226337449
test_238,1.0,0.0,8,1,1.0,0,,5,0.7021627188465499,2,0.2,12,7,0.24444444444444444
test_239,1.0,0.0,11,1,1.0,0,,6,0.9782748978274898,4,0.26666666666666666,11,2,0.10443037974683544
test_24,0.9968085106382979,0.07142857142857142,14,1,1.0,0,,9,0.873114338079797,11,0.4583333333333333,16,8,0.09741309620048505
test_240,1.0,0.0,17,7,0.6196269261962692,0,,5,0.9876072449952336,13,0.52,14,6,0.15831435079726652
test_241,1.0,0.0,9,2,0.9865771812080537,0,,5,0.9518937354155448,4,0.2857142857142857,12,8,0.4658536585365854
test_242,0.9985569985569985,0.05263157894736842,19,1,1.0,0,,8,0.9560268205208171,10,0.37037037037037035,20,13,0.45248868778280543
test_243,1.0,0.0,19,0,,0,,21,0.43224797383762265,12,0.375,15,8,0.2053256336220725
test_244,1.0,0.0,15,6,0.7125328659070991,0,,3,0.4957983193277311,11,0.5789473684210527,10,7,0.4916387959866221
test_245,1.0,0.0,5,0,,0,,5,0.9796557120500783,4,0.36363636363636365,3,2,0.375
test_246,0.9854932301740812,0.12,25,2,0.5227272727272727,0,,20,0.6687037632679318,9,0.2727272727272727,27,18,0.43253234750462105
test_247,1.0,0.0,4,1,1.0,0,,0,,1,0.2,11,10,0.9457627118644067
test_248,1.0,0.0,6,0,,2,0.9870538838348496,0,,4,0.5,9,7,0.1719641401792991
test_249,1.0,0.0,5,0,,4,0.9957001576608858,0,,2,0.3333333333333333,7,5,0.583969465648855
test_25,1.0,0.0,3,0,,4,0.6396636299929923,0,,0,0.0,5,3,0.3295843520782396
test_250,1.0,0.0,11,1,1.0,0,,7,0.8896774193548387,11,0.5,7,3,0.21823204419889503
test_251,1.0,0.0,6,0,,1,1.0,0,,3,0.42857142857142855,11,9,0.782051282051282
test_252,0.9493975903614458,0.2857142857142857,7,9,0.755868544600939,0,,2,0.6020066889632107,5,0.45454545454545453,4,3,0.9880546075085325
test_253,1.0,0.0,10,1,1.0,0,,9,0.7484604452865941,10,0.5263157894736842,8,3,0.5825242718446602
test_254,1.0,0.0,7,9,0.8548580567772891,0,,0,,3,0.23076923076923078,19,15,0.3209408194233687
test_255,1.0,0.0,17,5,0.9166345536287733,0,,0,,9,0.34615384615384615,6,3,0.11307420494699646
test_256,1.0,0.0,8,0,,2,0.742412076441304,0,,4,0.5,13,9,0.39280774550484093
test_257,1.0,0.0,1,0,,1,1.0,0,,0,0.0,3,3,1.0
test_258,0.9976047904191617,0.06666666666666667,15,1,1.0,0,,3,0.7767373090192213,6,0.3157894736842105,19,17,0.9451137884872824
test_259,1.0,0.0,5,0,,6,0.9021156138259833,0,,2,0.3333333333333333,9,4,0.33401639344262296
test_26,1.0,0.0,3,0,,2,0.5472906403940887,0,,1,0.25,6,3,0.3659305993690852
test_260,1.0,0.0,10,0,,3,0.9769840271663942,0,,5,0.38461538461538464,10,7,0.7524752475247525
test_261,1.0,0.0,7,0,,5,0.7347698031312975,0,,1,0.1111111111111111,12,8,0.2526416906820365
test_262,1.0,0.0,7,0,,5,0.962683604605002,0,,2,0.2222222222222222,12,8,0.20418204182041821
test_263,1.0,0.0,7,0,,5,0.7193967029112592,0,,2,0.2857142857142857,14,9,0.16666666666666666
test_264,1.0,0.0,12,0,,4,0.9774420946626384,0,,5,0.35714285714285715,14,11,0.8077260755048288
test_265,1.0,0.0,6,0,,4,0.9864617636297109,0,,0,0.0,10,7,0.5885416666666666
test_266,1.0,0.0,14,1,1.0,0,,5,0.8893387314439946,10,0.45454545454545453,3,1,0.3392857142857143
test_267,1.0,0.0,1,0,,1,1.0,0,,0,0.0,1,1,1.0
test_268,1.0,0.0,12,0,,4,0.9337182725851076,0,,4,0.2857142857142857,8,1,0.012996941896024464
test_269,0.9868766404199475,0.21428571428571427,14,2,0.921875,8,0.4715359828141783,0,,5,0.25,2,0,0.0
test_27,1.0,0.0,6,5,0.9896589259796807,0,,0,,6,0.5454545454545454,12,9,0.5507246376811594
test_270,1.0,0.0,14,0,,10,0.7285460436918574,0,,5,0.2777777777777778,12,9,0.7874852420306966
test_271,1.0,0.0,4,0,,1,1.0,0,,2,0.4,9,9,1.0
test_272,1.0,0.0,2,2,0.9928057553956835,0,,1,1.0,2,0.2857142857142857,6,4,0.684931506849315
test_273,1.0,0.0,26,11,0.4656407130885266,0,,7,0.9136546184738956,21,0.42,8,3,0.09882583170254403
test_274,1.0,0.0,4,0,,2,0.995895127118644,0,,0,0.0,6,5,0.5258215962441315
test_275,1.0,0.0,1,0,,1,1.0,0,,0,0.0,10,7,0.6526548672566371
test_276,1.0,0.0,9,8,0.34288990825688076,0,,0,,0,0.0,16,12,0.730616996507567
test_277,1.0,0.0,19,0,,0,,10,0.9718015145476285,8,0.32,13,11,0.7878378378378378
test_278,1.0,0.0,18,2,0.8823529411764706,0,,9,0.797644040121297,10,0.4166666666666667,15,10,0.42993396918561994
test_279,1.0,0.0,16,5,0.7791127541589649,0,,0,,8,0.36363636363636365,19,15,0.3602882305844676
test_28,1.0,0.0,33,0,,0,,6,0.8099015943245099,13,0.34210526315789475,14,6,0.42417582417582417
test_280,1.0,0.0,6,0,,2,0.8300461603021402,0,,3,0.42857142857142855,11,9,0.6253012048192771
test_281,1.0,0.0,8,14,0.5678129298486932,0,,0,,7,0.4666666666666667,5,5,1.0
test_282,1.0,0.0,14,8,0.8830446867650203,0,,4,0.9934640522875817,7,0.25925925925925924,7,4,0.10111111111111111
test_283,1.0,0.0,11,0,,2,0.9998661043047467,0,,4,0.3076923076923077,12,8,0.5230998509687034
test_284,1.0,0.0,7,0,,5,0.9828817899986521,0,,2,0.2,9,5,0.3595505617977528
test_285,1.0,0.0,25,15,0.9094614889508689,0,,0,,16,0.3902439024390244,14,11,0.5854922279792746
test_286,0.6962457337883959,0.5,8,6,0.5601401323472168,0,,11,0.31137724550898205,4,0.36363636363636365,8,4,0.3836477987421384
test_287,1.0,0.0,3,0,,1,1.0,0,,2,0.6666666666666666,8,4,0.23095823095823095
test_288,1.0,0.0,5,0,,0,,2,0.8429735234215886,2,0.3333333333333333,8,6,0.8805970149253731
test_289,0.8498402555910544,0.13636363636363635,22,15,0.3072239136451702,0,,13,0.8718882817243473,11,0.3793103448275862,4,3,0.18505338078291814
test_29,1.0,0.0,7,0,,5,0.5199304017715912,0,,3,0.3333333333333333,0,0,
test_290,1.0,0.0,11,0,,8,0.9733829816577024,0,,5,0.38461538461538464,4,2,0.6820276497695853
test_291,1.0,0.0,9,3,0.9472295514511874,0,,0,,4,0.25,17,10,0.2980769230769231
test_292,1.0,0.0,6,0,,4,0.9738525206922498,0,,1,0.125,18,13,0.567699836867863
test_293,1.0,0.0,4,4,0.8220684039087948,0,,0,,2,0.3333333333333333,12,9,0.2521067415730337
test_294,1.0,0.0,7,0,,7,0.7923497267759563,0,,5,0.38461538461538464,10,7,0.48942598187311176
test_295,0.9949622166246851,0.0,19,3,0.9573263221761553,0,,2,0.9795918367346939,7,0.3181818181818182,14,10,0.6041257367387033
test_296,1.0,0.0,10,0,,0,,6,0.8141252500384675,5,0.35714285714285715,20,15,0.36240171551107936
test_297,1.0,0.0,8,0,,5,0.9861978788319047,0,,3,0.1875,14,11,0.7125567322239031
