stem,threshold,view,dice_f1,precision,recall_sensitivity,accuracy
test_120,0.25,5x5 only,0.45822272784701157,0.3923160173155927,0.5507444545722413,0.9673004150390255
test_120,0.25,OR (6x6 | 5x5),0.4032691909784796,0.3057254901958386,0.5922212093579577,0.9559936523437135
test_120,0.25,confidence blend,0.41444304421652817,0.3241066072497008,0.5745973868116461,0.959232330322229
test_121,0.5,6x6 only,0.6274440931971506,0.5659520540705819,0.7039274924462052,0.9757232666015252
test_121,0.5,5x5 only,0.6821249999995737,0.6506498151893995,0.7168002101658784,0.9805984497069938
test_121,0.5,OR (6x6 | 5x5),0.6188007331759,0.5145445044412867,0.7760409825288638,0.9722328186034785
test_121,0.5,confidence blend,0.6734681409978169,0.6295111923245437,0.7240246946003888,0.979610443115197
test_121,0.25,6x6 only,0.6114466175407992,0.5287466462241004,0.7248128201750627,0.9732475280761347
test_121,0.25,5x5 only,0.6622863123615175,0.5941575378188897,0.7480625246279416,0.9778442382812127
test_121,0.25,OR (6x6 | 5x5),0.5893934275922456,0.46582761250917937,0.8021804807555468,0.9675407409667599
test_121,0.25,confidence blend,0.612846685224965,0.5043699618154396,0.7807697359769069,0.9713516235351192
test_122,0.5,6x6 only,0.5701475267564794,0.5626605766469808,0.5778364116078046,0.9886627197265248
test_122,0.5,5x5 only,0.48586552539645694,0.39447695683907374,0.6323658751080845,0.9825859069823843
test_122,0.5,OR (6x6 | 5x5),0.5051392076634017,0.38290468986326337,0.7420111404258517,0.9810829162597282
test_122,0.5,confidence blend,0.5922944220808046,0.5811001410420844,0.60392846672353,0.9891815185546498
test_122,0.25,6x6 only,0.5798375282986019,0.5312347486565856,0.6382292582801576,0.9879646301269154
test_122,0.25,5x5 only,0.48014226437415514,0.3620920876168051,0.7124010554068825,0.9799270629882438
test_122,0.25,OR (6x6 | 5x5),0.48428770949678396,0.34481044126743965,0.8132512459665399,0.9774627685546502
test_122,0.25,confidence blend,0.5167077378013635,0.3892188892183112,0.7683963647001806,0.9812965393066031
test_123,0.5,6x6 only,0.4512183468700896,0.49757639620548455,0.41276223776151616,0.9780921936034783
test_123,0.5,5x5 only,0.42886274509770284,0.38890469416729884,0.47797202797119237,0.9722213745116817
test_123,0.5,OR (6x6 | 5x5),0.44126984126952284,0.37567567567521415,0.53461538461445,0.9704589843749629
test_123,0.5,confidence blend,0.45419158834097195,0.49698732599107215,0.41818181818108713,0.9780693054198846
test_123,0.25,6x6 only,0.46538392375430193,0.4790818215466881,0.45244755244676144,0.9773178100585564
test_123,0.25,5x5 only,0.4358136892925051,0.36692969870831305,0.5365384615375235,0.9696884155273067
test_123,0.25,OR (6x6 | 5x5),0.44627456066374016,0.35470570044288763,0.6015734265723749,0.9674263000487912
test_123,0.25,confidence blend,0.44682997118123424,0.38002450980345587,0.5421328671319193,0.9707107543944942
test_124,0.5,6x6 only,0.5661029278047981,0.6400082236835526,0.5074991848707959,0.9635925292968383
test_124,0.5,5x5 only,0.5413979881349232,0.5727669637979145,0.5132865992822683,0.9593048095702759
test_124,0.5,OR (6x6 | 5x5),0.6028963414631848,0.5661322645286528,0.6447668731654346,0.9602508544921509
test_124,0.5,confidence blend,0.58626317879016,0.6388808768381512,0.541653081186386,0.9642219543456663
test_124,0.25,6x6 only,0.5936704564735306,0.6189844302896151,0.570345614606643,0.963462829589807
test_124,0.25,5x5 only,0.5526188946013204,0.5447418435218999,0.5607270948805341,0.9575119018554322
test_124,0.25,OR (6x6 | 5x5),0.60736696564661,0.5374239287279393,0.6982393218122772,0.9577522277831666
test_124,0.25,confidence blend,0.6138487521108599,0.5688252069273361,0.6666123247467667,0.9607505798339477
