case_id,dice_original,dice_enhanced,delta
test_132,0.7249851788414959,0.7249640005231542,-2.1178318341696922e-05
test_133,0.8462677098747905,0.8431909071769926,-0.0030768026977978646
test_134,0.7414438914255521,0.741915740079189,0.0004718486536369193
test_135,0.6880176697951502,0.6905613434919214,0.0025436736967712203
test_136,0.7864086021498611,0.7936697013521707,0.007261099202309662
test_137,0.7309157145219692,0.720378387044765,-0.010537327477204261
test_138,0.8126883160354764,0.8102614539785179,-0.002426862056958523
test_139,0.8992182903245362,0.8840591686630161,-0.015159121661520003
test_14,0.7978516888826207,0.8032628942123429,0.0054112053297221685
test_140,0.7198131114020736,0.7259684361539083,0.006155324751834668
test_141,0.8760673028623329,0.8748909657315421,-0.0011763371307907944
test_142,0.4187958883990026,0.4428079571533638,0.024012068754361182
test_143,0.8957475994509192,0.8960156316366935,0.000268032185774314
test_144,0.8743707829062469,0.8744181069073388,4.7324001091864076e-05
test_145,0.6664440734553145,0.666357493043152,-8.658041216258461e-05
test_146,0.06297592097126369,0.06293706293693349,-3.885803433019419e-05
test_147,0.5756050338816188,0.5859660791483747,0.010361045266755964
test_148,0.7051792828681245,0.7000948184501644,-0.005084464417960066
test_149,0.8389548199037898,0.8384320232288507,-0.0005227966749391522
test_15,0.565456792897443,0.5852645386963431,0.0198077457989001
test_150,0.9010513634867756,0.8974721391680084,-0.003579224318767227
test_151,0.7875394653753788,0.7910685805419327,0.0035291151665539644
test_152,0.6095451155849294,0.6089094159709408,-0.0006356996139885718
test_153,0.6791958859273687,0.6847836202878689,0.005587734360500196
test_154,0.9130353000182374,0.9146219328987765,0.0015866328805390628
test_155,0.8149128612391977,0.8106495962749612,-0.004263264964236457
test_156,0.8826995179427946,0.8822699177491203,-0.00042960019367421776
test_157,0.573086652447511,0.5687948105152568,-0.004291841932254181
test_158,0.876026815219643,0.8664239708756963,-0.009602844343946648
test_159,0.8279307540369304,0.8310413694717084,0.0031106154347779746
test_16,0.7020182787502837,0.702759276878494,0.0007409981282103795
test_160,0.6993896236006278,0.6900292031700541,-0.009360420430573724
test_161,0.5882887561668474,0.5867068348706541,-0.0015819212961932783
test_162,0.7632357777040749,0.7632357777040749,0.0
test_163,0.5596692351058324,0.5720139061332431,0.012344671027410659
test_164,0.7956245325347834,0.7943420807735023,-0.001282451761281056
test_165,0.8950800726428533,0.896503553966516,0.0014234813236627675
test_166,0.6484764221986742,0.6553769944123867,0.006900572213712541
test_167,0.8969993476839866,0.8968411464260722,-0.0001582012579144365
test_168,0.6169465052708966,0.613306420308506,-0.003640084962390544
test_169,0.8536492166596457,0.8583808437849803,0.004731627125334592
test_17,0.6107594936701958,0.6005100343712158,-0.010249459298980024
test_170,0.8112225658037474,0.8119862501862113,0.0007636843824638806
test_171,0.8456512862388497,0.8386087132107433,-0.0070425730281064025
test_172,0.8176042508947571,0.8182132166700332,0.0006089657752761379
test_173,0.7886848635231818,0.7883558592005602,-0.0003290043226216177
test_174,0.8833746898260671,0.8861572771197138,0.0027825872936466656
test_175,0.7859114497069747,0.7895053951904533,0.003593945483478578
test_176,0.8474818218312675,0.8495433992371444,0.0020615774058768688
test_177,0.6440488656190966,0.6378297116300138,-0.006219153989082793
test_178,0.7982538197667657,0.7609841827745725,-0.03726963699219321
test_179,0.43409520536137297,0.4525181658728368,0.018422960511463804
test_18,0.7896961159179012,0.8021814576095169,0.012485341691615637
test_180,0.7492410443214952,0.7424121405735974,-0.0068289037478977965
test_181,0.7516196886828979,0.7481972406315918,-0.003422448051306093
test_182,0.7323624595457405,0.713476070527844,-0.01888638901789652
test_183,0.8005869266811186,0.8005959309088875,9.004227768838469e-06
test_184,0.8830062540430865,0.8808284595155439,-0.0021777945275426314
test_185,0.9148902067631712,0.911572226655298,-0.0033179801078732085
test_186,0.7760185771577199,0.7722969606369982,-0.003721616520721782
test_187,0.6866544179048883,0.7155710464450712,0.028916628540182843
test_188,0.5528413473896007,0.5527732672416436,-6.808014795711692e-05
test_189,0.8372714369200657,0.8374843815070074,0.00021294458694176566
test_19,0.590582270063343,0.5840202399410005,-0.006562030122342466
test_190,0.8015251856306097,0.820657523459006,0.019132337828396295
test_191,0.6476395918023333,0.6351056081568057,-0.012533983645527602
test_192,0.7314320573427394,0.7400514449986836,0.008619387655944166
test_193,0.835477441564744,0.834034177327696,-0.001443264237047992
test_194,0.669121192197822,0.662163325014774,-0.006957867183047917
test_195,0.93546105560917,0.9329749261882814,-0.002486129420888661
test_196,0.9224309918706125,0.8960651600318642,-0.0263658318387483
test_197,0.8080156950666983,0.8113471212962469,0.0033314262295485175
test_198,0.790390296998297,0.7946559579884201,0.004265660990123155
test_199,0.7835111542188247,0.7896031248489224,0.006091970630097698
test_2,0.6564616635053803,0.6448319299869755,-0.011629733518404795
test_20,0.8832929782077571,0.8784518605390348,-0.004841117668722306
test_200,0.778067658056884,0.7780542210017253,-1.3437055158771471e-05
test_201,0.7576213774929383,0.7598772775651118,0.0022559000721734668
test_202,0.7564516907043768,0.7566587112168226,0.0002070205124458102
test_203,0.9135871075293617,0.9136730407864962,8.593325713457389e-05
test_204,0.8749425287352969,0.871988411100613,-0.002954117634683895
test_205,0.8567676143383588,0.8622099912086296,0.005442376870270826
test_206,0.8394503816788766,0.8372914383139464,-0.002158943364930277
test_207,0.7773327993587122,0.8043859079992185,0.02705310864050625
test_208,0.7183520863459072,0.7180921742776704,-0.0002599120682368339
