case_id,dice_original,dice_thr0.08_cap5000,precision_added_thr0.08_cap5000,dice_thr0.05_cap20000,precision_added_thr0.05_cap20000
test_233,0.8082582912361035,0.8060434166025929,0.23770491803278687,0.8063640312767124,0.31862745098039214
test_234,0.7617036571117074,0.7647085141600981,0.7419354838709677,0.7667280540205355,0.4854014598540146
test_235,0.7659001561738564,0.7606928999140501,0.022222222222222223,0.7597973873629646,0.07526881720430108
test_236,0.707759699623977,0.6962928851019293,0.04897959183673469,0.6953836885302391,0.18787878787878787
test_237,0.7902492769585523,0.7917095600845572,0.6122448979591837,0.7836986393184638,0.27204030226700254
test_238,0.7744583373095595,0.7769838285062269,0.4716981132075472,0.7768702431773,0.43097643097643096
test_239,0.8340073694609202,0.8313948326371025,0.3088235294117647,0.8116016868914608,0.1524390243902439
test_24,0.6741058232333179,0.6728029804947967,0.2802547770700637,0.6664273921465318,0.20300751879699247
test_240,0.7435243122310121,0.7391932819380715,0.23162583518930957,0.736132498374316,0.19642857142857142
test_241,0.7961919873059926,0.7995264404097873,0.7230769230769231,0.816864498226594,0.7615176151761518
test_242,0.8507712321124631,0.8529195289494278,0.5341614906832298,0.8576998050677036,0.6336996336996337
test_243,0.4737709072475457,0.48217359232820123,0.378099173553719,0.4848852002177955,0.36376210235131395
test_244,0.6571841315694441,0.6587601078160013,0.35507246376811596,0.6591221575878803,0.34868421052631576
test_245,0.6249999999993401,0.6251970158656874,0.3333333333333333,0.6248294679393169,0.2982456140350877
test_246,0.7375042891451804,0.7290568576871542,0.15229885057471265,0.7172088430518858,0.11978465679676985
test_247,0.8547145408629335,0.8549225968299241,0.44339622641509435,0.8281129729404771,0.08282208588957055
test_248,0.8771137293200189,0.8779955105254638,0.5098039215686274,0.8737864077664633,0.30198019801980197
test_249,0.8153826819147822,0.8295039326185486,0.8969957081545065,0.8315438726392499,0.8561643835616438
test_25,0.6740444021992843,0.6740444021992843,,0.6728399173934628,0.3049645390070922
test_250,0.7840515106483505,0.7799384615379815,0.05102040816326531,0.780490805092084,0.12149532710280374
test_251,0.8336002135035804,0.8349643831963018,0.7272727272727273,0.8364455039062134,0.6052631578947368
test_252,0.1512977421395323,0.2068547164086474,0.7409200968523002,0.1512977421395323,
test_253,0.5309836775956508,0.5233300241093131,0.0546875,0.5309314341564992,0.2647058823529412
test_254,0.7638954869355645,0.7585746277449579,0.031088082901554404,0.7568454357248713,0.11730205278592376
