case_id,dice_original,dice_window,dice_raster
test_186,0.7760185771577199,0.7819880340077863,0.7783977260756095
test_187,0.6866544179048883,0.689774127309495,0.6861410788376048
test_188,0.5528413473896007,0.5546060502473469,0.5533299092616389
test_189,0.8372714369200657,0.8341832538239561,0.837930172484928
test_19,0.590582270063343,0.5870442011685788,0.5900376795989442
test_190,0.8015251856306097,0.8013643659705716,0.801417965352952
test_191,0.6476395918023333,0.6464111267483679,0.6468931234460257
test_192,0.7314320573427394,0.7314320573427394,0.7314320573427394
test_193,0.835477441564744,0.834518131916823,0.835920577616574
test_194,0.669121192197822,0.6653301372845215,0.6670453552387192
test_195,0.93546105560917,0.93546105560917,0.93546105560917
test_196,0.9224309918706125,0.9224450925537402,0.9224679305928979
test_197,0.8080156950666983,0.8023619312255628,0.8067919781980247
test_198,0.790390296998297,0.7883675843344021,0.7898989898983761
test_199,0.7835111542188247,0.7862632084530325,0.784721886043092
test_2,0.6564616635053803,0.6391507878943501,0.6510846933973732
test_20,0.8832929782077571,0.8808067803878978,0.882878038287329
test_200,0.778067658056884,0.7744534933558618,0.7778162911608415
test_201,0.7576213774929383,0.7553417468444612,0.7567466032178594
test_202,0.7564516907043768,0.7560706930404923,0.7567957661771677
test_203,0.9135871075293617,0.9158495374212421,0.9142190883343988
test_204,0.8749425287352969,0.8731123599797862,0.8742725880547955
test_205,0.8567676143383588,0.856988416988086,0.8570876935549071
test_206,0.8394503816788766,0.8395921108867072,0.8395921108867072
test_207,0.7773327993587122,0.7851743800551749,0.7804553321789506
test_208,0.7183520863459072,0.7167269026980888,0.7191430886858394
test_209,0.8595174772032392,0.8592444950641328,0.8594076324279194
test_21,0.7075055892681523,0.7076138897733625,0.7074508803261625
test_210,0.7369307653429519,0.7377104377100236,0.7372852812390607
test_211,0.41814343292149053,0.41402066990386377,0.41765339074246965
test_212,0.6348539280142107,0.6256930990709962,0.6297317286353595
test_213,0.5392120075041845,0.5385185185180198,0.5397211565448304
test_214,0.7267782782354352,0.7261319314902805,0.7270101516371206
test_215,0.7940552016975772,0.7944144566993728,0.7948326482668292
test_216,0.8006006316984411,0.7992563135873577,0.8005174644239066
test_217,0.8260210560809365,0.8281669514275372,0.8259357741866123
test_218,0.6097319750763477,0.6068001771389033,0.608506858777949
test_219,0.6341194318020728,0.63002917429905,0.6319682235305903
test_22,0.8309307970471932,0.8307250396192399,0.8308073303611536
test_220,0.757213041536062,0.7581291759462102,0.7577312686863502
test_221,0.8499873192997559,0.852232156961596,0.8516537426805344
test_222,0.67104508066016,0.6703604636347787,0.6702757786124003
test_223,0.8198555115353904,0.8118282050095438,0.817700102258614
test_224,0.6757893966555648,0.6813530932524919,0.6772401695656054
test_225,0.7668301909091749,0.7739454672565987,0.7695922923271239
test_226,0.6578716945883731,0.6611156399204255,0.6598671173792634
test_227,0.8233184322692527,0.8231658226202252,0.8231015042475325
test_228,0.8747093420866675,0.8777164656987003,0.8758705448580664
test_229,0.6497339810313904,0.6502959674432804,0.6502959674432804
test_23,0.7373242437145959,0.7425502790347029,0.7412513255559477
test_230,0.7527022271375231,0.7534397911013591,0.7528903186886735
test_231,0.7677295352615604,0.76819446478217,0.767342530315299
test_232,0.23443605105475865,0.23437499999979652,0.23437499999979652
test_233,0.8082582912361035,0.8078828460989668,0.8097843931264037
test_234,0.7617036571117074,0.7672983888860826,0.7645057306586834
test_235,0.7659001561738564,0.7658176727151118,0.7658176727151118
test_236,0.707759699623977,0.7041618047446875,0.7052131224182145
test_237,0.7902492769585523,0.7842363190846826,0.7893472441479927
test_238,0.7744583373095595,0.7667917448398059,0.7744082137077911
test_239,0.8340073694609202,0.8237799467605822,0.8328398384918503
test_24,0.6741058232333179,0.674142382884047,0.6738488783938357
test_240,0.7435243122310121,0.7446209461570633,0.7435029825231997
test_241,0.7961919873059926,0.7930097087372481,0.7978513310681745
test_242,0.8507712321124631,0.8483803424061779,0.8502194473630152
test_243,0.4737709072475457,0.4716195761853736,0.4736208752926255
test_244,0.6571841315694441,0.6351638995310396,0.6560776527678622
test_245,0.6249999999993401,0.6249999999993401,0.6249999999993401
test_246,0.7375042891451804,0.7343022595658372,0.7373345504331713
test_247,0.8547145408629335,0.8511002444982573,0.8544214342771127
test_248,0.8771137293200189,0.8759017884202025,0.8770327060107942
test_249,0.8153826819147822,0.8209290709285583,0.8174752413182791
test_25,0.6740444021992843,0.6750322186795936,0.6744485917878015
test_250,0.7840515106483505,0.7808985311285226,0.7830380840684013
test_251,0.8336002135035804,0.8366804096283836,0.8357195178791798
test_252,0.1512977421395323,0.16307403936252932,0.15547629039010125
test_253,0.5309836775956508,0.5162738496064586,0.5258069102793604
test_254,0.7638954869355645,0.7638031956965813,0.7639471393523922
test_255,0.7190621814471361,0.7190621814471361,0.7190621814471361
test_256,0.8840240641703843,0.8827884535389046,0.8846057571957575
test_257,0.8631189804447289,0.8655592041714645,0.8636937724658857
test_258,0.7818476499187323,0.777372577171349,0.7832753021035249
test_259,0.8813051938325989,0.8815661660308738,0.8818120654848757
test_26,0.901070882201809,0.8967260776123162,0.8989476353481692
test_260,0.8926133593363648,0.8913848582351457,0.8922852097662471
test_261,0.8469721767587176,0.8208392267791758,0.8460038986347904
test_262,0.7266257450398304,0.7217222516316201,0.7240371845943124
test_263,0.8309617271830035,0.8259464732056172,0.8279149352231557
test_264,0.8554204762378903,0.8558120899479862,0.854863793708496
test_265,0.8170485175195273,0.8190301616390443,0.8184491304706221
test_266,0.5703223308483493,0.5838426279597174,0.5787905009128171
test_267,0.82704244254181,0.8313555072692105,0.8301823657339298
test_268,0.852970795568446,0.8512215034849895,0.8527746319360433
test_269,0.599437587876426,0.6008045799159827,0.6003737735550534
test_27,0.8340397240913869,0.834298957125613,0.8347580712085361
test_270,0.7602128235184596,0.7599387000807897,0.7599729546987785
test_271,0.8924106356745092,0.8998079944135976,0.8931425059259872
test_272,0.6585657370504809,0.6625620655398956,0.6612326043724429
test_273,0.5282946918850945,0.5324690094391249,0.5314366132895167
