seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
79,stage2.1.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,2,2,8,8,288,32,4096,131072,37748736,196608,2048,1744896,2657511314,0,2659256210,
82,stage2.1.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
86,stage2.2.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
89,stage2.2.conv.0,stage2,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,4096,131072,20971520,196608,1152,1744896,1476395308,0,1478140204,
92,stage2.2.conv.3,stage2,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,4096,131072,20971520,65536,1152,1744896,1476395308,0,1478140204,
95,stage2.2.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
99,stage2.3.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
102,stage2.3.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,4,4,8,8,288,32,4096,131072,37748736,327680,2048,1744896,2657511314,0,2659256210,
105,stage2.3.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
109,stage2.4.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
112,stage2.4.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,4096,131072,37748736,131072,2048,1744896,2657511314,0,2659256210,
115,stage2.4.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
119,stage2.5.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
122,stage2.5.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,8,8,8,8,288,32,4096,131072,37748736,589824,2048,1744896,2657511314,0,2659256210,
125,stage2.5.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
129,stage2.6.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
132,stage2.6.conv.0,stage2,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,4096,131072,20971520,196608,1152,1744896,1476395308,0,1478140204,
135,stage2.6.conv.3,stage2,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,4096,131072,20971520,65536,1152,1744896,1476395308,0,1478140204,
138,stage2.6.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
142,stage2.7.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
145,stage2.7.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,16,16,8,8,288,32,4096,131072,37748736,1114112,2048,1744896,2657511314,0,2659256210,
148,stage2.7.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
152,stage3.0.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
155,stage3.0.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,4096,131072,37748736,131072,2048,1744896,2657511314,0,2659256210,
