stem,view,dice_f1,precision,recall_sensitivity,accuracy
test_125,6x6 only,0.46651399206810784,0.33912619782333997,0.7471819645719321,0.9635658264159789
test_125,5x5 only,0.3681865959255377,0.25559416261274803,0.6580783682221183,0.9518470764159793
test_125,OR (6x6 | 5x5),0.3578439132498188,0.22973728339842991,0.80891035963355,0.9381027221679329
test_125,confidence blend,0.4427538173048793,0.31599877638397367,0.7393093576655229,0.9603233337401977
test_126,6x6 only,0.6441929832866238,0.6089330469026991,0.6837873153077275,0.9426651000976203
test_126,5x5 only,0.5967505928652816,0.5991388044576499,0.594381344858481,0.9390258789062141
test_126,OR (6x6 | 5x5),0.6447574334896915,0.5565941288153364,0.766107146446494,0.9359207153319955
test_126,confidence blend,0.6572179677675947,0.6028011909252305,0.7224344155187845,0.9427986145019172
test_127,6x6 only,0.6707086343306369,0.5595895816886276,0.8368923704251132,0.9707870483398067
test_127,5x5 only,0.6073032145267185,0.4822059565872777,0.8200450692125548,0.9622993469237914
test_127,OR (6x6 | 5x5),0.5721637105902184,0.4205244578918706,0.8948385019842312,0.9524269104003542
test_127,confidence blend,0.6286603149910057,0.4929860941690089,0.8673677433191679,0.9635734558105101
test_128,6x6 only,0.3244774214136251,0.21110822735519796,0.7008443908311204,0.9354019165038705
test_128,5x5 only,0.41617908929008046,0.275993926783852,0.8457694296039191,0.9474716186523076
test_128,OR (6x6 | 5x5),0.34854602829888753,0.21700185905010266,0.8850594520060572,0.9267616271972302
test_128,confidence blend,0.36397566528557307,0.23230109575977498,0.8402550404948471,0.9349937438964486
test_129,6x6 only,0.4086252759067244,0.27975821450691274,0.7576075550876021,0.9601402282714477
test_129,5x5 only,0.4125222024864495,0.28043166553446497,0.7798530954862962,0.9596252441405884
test_129,OR (6x6 | 5x5),0.3332155338279604,0.20495604289430733,0.8904512067137661,0.9352226257323861
test_129,confidence blend,0.41165149544842045,0.2736514522819684,0.8304302203550253,0.9568519592284791
test_13,6x6 only,0.57288726548208,0.45677786603093934,0.7681433659831164,0.9607467651366821
test_13,5x5 only,0.5131698850073712,0.42052485598433925,0.6581700801417428,0.9572029113769166
test_13,OR (6x6 | 5x5),0.5227092730964764,0.3784214987284347,0.8448352626882848,0.9471244812011357
test_13,confidence blend,0.5613164836027867,0.4342449899491781,0.7935218165618949,0.9574928283691041
test_130,6x6 only,0.6564889521698423,0.5601097813369207,0.7929299363052273,0.9503021240234012
test_130,5x5 only,0.6624436332401057,0.5724624234549209,0.7859872611459962,0.9520263671874637
test_130,OR (6x6 | 5x5),0.6375030830286246,0.49192013564466175,0.9054777070057927,0.9383277893066048
test_130,confidence blend,0.7086695367480321,0.5952535619935926,0.8754777070058117,0.9568901062011353
test_131,6x6 only,0.5335803172791234,0.4066459132698135,0.7757215854153077,0.9625396728515258
test_131,5x5 only,0.48602843915323823,0.3468231962714018,0.811904433088231,0.9525680541991823
test_131,OR (6x6 | 5x5),0.42476209690963895,0.28073606542791324,0.8722552133671146,0.9347419738769174
test_131,confidence blend,0.524716157205011,0.3836771185897032,0.8297196519806246,0.9584808349609009
test_132,6x6 only,0.46842532467513454,0.406122448979306,0.5533077660589134,0.9500350952148074
test_132,5x5 only,0.4680882680732342,0.3820960698687639,0.6040268456370047,0.9453811645507452
test_132,OR (6x6 | 5x5),0.46035108958823845,0.336355594869378,0.7291466922332415,0.9319839477538706
test_132,confidence blend,0.5053288276577276,0.412388629613666,0.6523489932879651,0.9491844177245731
test_133,6x6 only,0.5525638938627535,0.4568998007858413,0.6988963926859669,0.9475746154784794
test_133,5x5 only,0.6212359212591085,0.5227515608298988,0.7654422665122999,0.9567680358886353
test_133,OR (6x6 | 5x5),0.549232892280069,0.4089865001005807,0.8358590018112041,0.9364509582519174
test_133,confidence blend,0.6024096385540264,0.4889379395305739,0.7844671388562143,0.9520378112792605
test_134,6x6 only,0.6036422294856715,0.5051868694042169,0.7497627333114523,0.9643821716308225
test_134,5x5 only,0.6153176675367209,0.5238201081717982,0.7455446588624427,0.9662780761718381
test_134,OR (6x6 | 5x5),0.571279663666804,0.42600269457952844,0.8669197511326933,0.9529304504394167
test_134,confidence blend,0.6408644562222602,0.5249730748515583,0.8224190656956423,0.9666557312011349
test_135,6x6 only,0.5450713554521918,0.535051424517632,0.5554737358854253,0.971179962158166
