case_id,category,gt_vessel_px,passthrough_dice_f1,passthrough_precision,passthrough_recall_sensitivity,passthrough_accuracy,refinement_dice_f1,refinement_precision,refinement_recall_sensitivity,refinement_accuracy,gap_recovery_rate,n_disagreement_px
test_103_empty_007,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_103_empty_008,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_103_empty_009,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_103_empty_010,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_corrupt_001,corrupt,1055,0.8758236188500973,0.9411764705779828,0.8189573459638014,0.9734157986100548,0.9226219812670152,0.9609856262735011,0.8872037914607849,0.9829644097211555,0.7346938775510204,245
test_104_corrupt_002,corrupt,2201,0.9340581422809405,0.9733990147735301,0.8977737392053714,0.9697265624989477,0.9543218552331827,0.985009671175121,0.9254884143529056,0.9788411458322711,0.5949820788530465,279
test_104_corrupt_004,corrupt,1764,0.9059274550253438,0.9440688383469941,0.8707482993147917,0.9653862847211746,0.9399766899739511,0.967026378891085,0.914399092965338,0.9776475694433835,0.5830721003134797,319
test_104_corrupt_006,corrupt,1860,0.8676136363611716,0.9198795180667477,0.8209677419310701,0.9494357638878586,0.9425474254717005,0.9502732240385231,0.9349462365541132,0.9769965277767176,0.7618025751072961,466
test_104_corrupt_007,corrupt,1901,0.8860178007439391,0.975347661182204,0.8116780641724793,0.9569227430545172,0.942416869421621,0.9694104560568999,0.9168858495480438,0.9768880208322732,0.7455919395465995,397
test_104_corrupt_008,corrupt,1799,0.885783718101805,0.9765572672406125,0.8104502501344611,0.959201388887848,0.9502158273353951,0.9850835322136929,0.9177320733689954,0.9812282986100463,0.800531914893617,376
test_104_corrupt_010,corrupt,1914,0.892652280795158,0.9353176874588706,0.8537095088774623,0.9573567708322944,0.9416755037090624,0.9558665231380201,0.9278996865155282,0.976128472221163,0.7099236641221374,393
test_104_corrupt_011,corrupt,1018,0.8569915254191897,0.929885057460576,0.7946954813281464,0.9707031249989466,0.9143145161244238,0.9389233954354148,0.8909626718969453,0.9815538194433793,0.7333333333333333,270
test_104_corrupt_014,corrupt,1685,0.8766946417014956,0.961075725400134,0.8059347180961073,0.958550347221182,0.9551786795852357,0.9752628323996583,0.9359050445048315,0.9839409722211545,0.7879581151832461,382
test_104_corrupt_015,corrupt,1733,0.8584269662893791,0.9674384949278768,0.7714945181721207,0.9521484374989667,0.949820788527629,0.9845201238329132,0.9174841315584681,0.981770833332268,0.8027210884353742,441
test_104_discont_000,discont,1359,0.6159769008632533,0.890125173840193,0.4709345106661447,0.9134114583323422,0.5967741935453792,0.9471999999848448,0.43561442236618386,0.9131944444434534,0.05764411027568922,798
test_104_discont_001,discont,1341,0.6073710073680227,0.8904899135318373,0.4608501118533867,0.9133029513878979,0.5867215645878193,0.9468438538048697,0.42505592840846346,0.9128689236101205,0.05506883604505632,799
test_104_discont_002,discont,492,0.5071225071152832,0.8476190475786848,0.36178861787882544,0.9624565972211778,0.7732497387589002,0.795698924714071,0.7520325203099181,0.976453993054496,0.5780346820809249,346
test_104_discont_003,discont,540,0.537084398970114,0.8677685950054641,0.3888888888816872,0.9607204861100686,0.7769230769156066,0.80799999998384,0.7481481481342935,0.974826388887831,0.5607734806629834,362
test_104_discont_004,discont,1120,0.8960607498770952,0.9564336372750109,0.8428571428496174,0.9762369791656073,0.9160305343467747,0.9836065573669712,0.8571428571352042,0.9809027777767133,0.45662100456621,219
test_104_discont_005,discont,1199,0.8933742869640484,0.942592592583865,0.84904086738241,0.9736328124989434,0.9072256913429652,0.9750719079484653,0.8482068390254529,0.9774305555544949,0.3662551440329218,243
test_104_discont_006,discont,773,0.6721044045622178,0.9094922737106073,0.5329883570435577,0.9563802083322955,0.7780938833515072,0.8641390205234734,0.7076326002495779,0.9661458333322849,0.38308457711442784,402
