case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_159,0.8295377677560148,0.881936953133307,0.7830158561234617,0.8483659289315042
test_15,0.5603255340787788,0.6302059496553085,0.5043956043946806,0.5115237391603332
test_160,0.7346560356010248,0.7264393105963945,0.7430607651899043,0.7521022153646612
test_161,0.5671187883945216,0.5269582909454877,0.6139057150373797,0.6069747845412965
test_162,0.6956849728419616,0.7301662707826918,0.6643134994947928,0.6160416749013755
test_163,0.626761370145133,0.627192479650777,0.6263308528899526,0.6816540979705682
test_164,0.7422963689884766,0.8787174721169175,0.6425416241919087,0.7434611896447738
test_165,0.7956800664601488,0.9102428722271274,0.7067311634002568,0.8001149516812064
test_166,0.6375199668694093,0.8287955699110463,0.517977312054876,0.5975650963109584
test_167,0.8914397131892284,0.891047403494976,0.891832368486728,0.910539799975089
test_168,0.6515627583920526,0.5251932817908221,0.8580139372803615,0.5601022511277381
test_169,0.8510017655631756,0.9077956108730629,0.8008958243016893,0.8973564415735007
test_16,0.7070391472149355,0.8011245314435629,0.6327302631568541,0.7026420971991295
test_170,0.8009429792243988,0.8165840468667319,0.7858898366332429,0.7767939276406863
test_171,0.82544706440849,0.911357018053685,0.7543386039329403,0.8069182704708903
test_172,0.8213470319630015,0.8251146788981363,0.8176136363627072,0.7580077273197372
test_173,0.6802576249530631,0.8231353858033967,0.5796444121910561,0.6664820158623178
test_174,0.9002434363791063,0.9761580381465848,0.8352844027780466,0.8337680456265834
test_175,0.7473100749914425,0.7891656145979694,0.709670760655682,0.7505585920913733
test_176,0.822161988330582,0.9035645763900801,0.7542144302084,0.8382148166336785
test_177,0.5713075252869929,0.4635215261661394,0.7444107093558592,0.5592366852904987
test_178,0.752259036141746,0.8531169940149179,0.6727272727227426,0.7703413346938821
test_179,0.3376597243180021,0.455236028213632,0.2683511914276854,0.3883075727151884
test_17,0.6268120282728803,0.5170982407580211,0.7956204379537847,0.6092050059857144
test_180,0.7250303275359381,0.6090353260848879,0.8956043955999221,0.6887262099646654
test_181,0.7141286885935934,0.6905968928857803,0.7393207282906693,0.7377582523407582
test_182,0.6608431447006061,0.7204968944069545,0.6103121711658706,0.667769957815542
test_183,0.7598898858071167,0.8926817582933372,0.6614893050495593,0.8009556564651291
test_184,0.8730541547901375,0.924326833796513,0.8271707519725516,0.8925150977176644
test_185,0.8993309720575369,0.84787770851759,0.9574325456662353,0.9466938679170017
test_186,0.6934210526309272,0.6220910623935547,0.783227176219144,0.6294442327921034
test_187,0.5801923076917498,0.8904958677659667,0.4302624073011548,0.5654446209424977
test_188,0.7179368567124806,0.689165186499358,0.7492155442897678,0.6604996297578761
test_189,0.8443104010426766,0.7464687229738448,0.9716697936191901,0.8215612105066825
test_18,0.7337387138375403,0.7165736908390921,0.7517462714730003,0.729470818511313
test_190,0.8232818151918294,0.9021331795893599,0.757106568282621,0.8460671477465437
test_191,0.6365165058849132,0.8606988989926743,0.5049852548792234,0.6126136623125958
test_192,0.6937168568209113,0.8649569224586957,0.5790744466793037,0.7300034464559422
test_193,0.8730425550731017,0.941064276175966,0.8141914191405707,0.928208616875566
test_194,0.7098533573446308,0.8870884773651143,0.5916459387592489,0.7094570950643854
test_195,0.9360722507521976,0.9487570672162354,0.9237221494094157,0.9313672126558448
test_196,0.9029918956794519,0.9623352165718797,0.8505423865001145,0.9213214366599212
test_197,0.7154875996775802,0.8292352043397843,0.629181677816998,0.6088721319482387
test_198,0.8284805890220645,0.9457497612207341,0.7370850081870819,0.8366284102860736
test_199,0.7569252077558583,0.892973856208108,0.6568509615378976,0.7190937575059144
